material_name,supply_risk,economic_importance,eu_used_stage,eu_stages,eu_used_supply_primary,supply_risk_primary,eu_used_supply_refined,supply_risk_refined,si_ei,si_sr,import_reliance_primary,import_reliance_refined,end_of_life,source_name,publish_year,date_year
Scandium,2.4,3.7,Processing,P,,,GSonly,2.4,0.86,0.87,,100,0,EUREPORT,2025,2025
Selenium,0.3,4.8,Processing,P,,,GS+EU,0.3,0.90,0.94,,2,1,EUREPORT,2025,2025
Silica Sand,0.3,3.1,Extraction,E,GS+EU,0.3,,,,,0,,1,EUREPORT,2025,2025
Silicon metal,1.4,4.9,Processing,P,,,GS+EU,1.4,0.99,0.99,,64,0,EUREPORT,2025,2025
Silver,0.8,4.6,Extraction,E,GS+EU,0.8,,,0.97,0.99,5,,4,EUREPORT,2025,2025
Strontium,2.6,6.5,Extraction,E,GS+EU,,2.6,,0.98,0.97,0,,0,EUREPORT,2025,2025
Sulfur,0.3,5.0,Processing,P,,,EUonly,0.3,0.99,0.99,,0,0,EUREPORT,2025,2025
"Talc, Steatite & Pyrophyllite",0.2,3.3,Extraction,E,GS+EU,0.2,,,0.71,0.71,7,,16,EUREPORT,2025,2025
Tantalum,1.3,4.8,Extraction,E,GS+EU,1.3,,,0.96,0.98,99,,1,EUREPORT,2025,2025
Tellurium,0.3,3.8,Processing,P,,,GS+EU,0.3,0.87,0.94,,0,1,EUREPORT,2025,2025
Tin,0.9,4.5,Processing,E+P,GS+EU,0.5,GS+EU,0.9,0.90,0.92,0,73,31,EUREPORT,2025,2025
Titanium,0.5,5.4,Extraction,E+P,GS+EU,0.5,GS+EU,0.4,0.92,0.95,100,18,1,EUREPORT,2025,2025
Titanium metal,1.6,6.3,Processing,E+P,GS+EU,0.5,GS+EU,1.6,1.00,1.0,,100,1,EUREPORT,2025,2025
Tungsten,1.2,8.7,Processing,E+P,GS+EU,0.5,GS+EU,1.2,0.95,0.96,21,80,42,EUREPORT,2025,2025
Tungsten,1.2,8.7,Processing,E+P,GS+EU,0.5,GS+EU,1.2,0.95,0.96,21,80,42,EUREPORT,2025,2025
Vanadium,2.3,3.9,Extraction,E+P,GSonly,2.3,GS+EU,1.7,0.90,0.92,0,100,6,EUREPORT,2025,2025
Xenon,0.8,3.1,Processing,P,,,GS+EU,0.8,0.98,0.99,,0,0,EUREPORT,2025,2025
Zinc,0.2,4.8,Extraction,E+P,GS+EU,0.2,EUonly,0.1,0.77,0.8,56,0,34,EUREPORT,2025,2025
Zirconium,0.8,3.5,Extraction,E,GS+EU,0.8,,,0.96,0.97,100,,12,EUREPORT,2025,2025
